2019-09-18 12:01:20,367 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/img_close') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:21,716 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/tab_me') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:23,155 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/textView1') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:24,808 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_account_textview') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:25,359 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/logon_account_textview')元素方法
2019-09-18 12:01:26,370 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/logon_account_textview')元素输入13478603122
2019-09-18 12:01:27,028 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_password_textview') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:27,577 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/logon_password_textview')元素方法
2019-09-18 12:01:29,748 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/logon_password_textview')元素输入123456
2019-09-18 12:01:30,328 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_button') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:32,862 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:32,944 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/setting_address_manage') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:34,406 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_add_new_btn') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:35,739 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:36,941 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_receipt_name')元素方法
2019-09-18 12:01:37,756 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_receipt_name')元素输入李白
2019-09-18 12:01:38,434 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_add_phone') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:38,940 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_add_phone')元素方法
2019-09-18 12:01:39,637 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_add_phone')元素输入13012345678
2019-09-18 12:01:40,313 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_province') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:41,864 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'福建')]") 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:43,064 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'厦门')]") 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:44,135 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'思明')]") 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:44,203 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_detail_addr_info') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:44,838 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_detail_addr_info')元素方法
2019-09-18 12:01:45,581 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_detail_addr_info')元素输入北七家镇云集TBD中心
2019-09-18 12:01:46,241 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_post_code') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:46,284 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_post_code')元素方法
2019-09-18 12:01:47,445 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_post_code')元素输入123456
2019-09-18 12:01:48,106 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_default') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:48,701 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/button_send') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:49,258 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('id', 'com.yunmall.lc:id/receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:50,407 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymtitlebar_right_btn') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:50,473 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('xpath', "//*[contains(@text,'修改')]") 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:51,153 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:52,337 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_receipt_name')元素方法
2019-09-18 12:01:53,181 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_receipt_name')元素输入杜甫
2019-09-18 12:01:54,155 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_add_phone') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:55,088 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_add_phone')元素方法
2019-09-18 12:01:56,202 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_add_phone')元素输入13645678944
2019-09-18 12:01:57,105 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_province') 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:58,689 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'江苏')]") 持续时间: 30 查找频率: 0.2
2019-09-18 12:01:59,817 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'无锡')]") 持续时间: 30 查找频率: 0.2
2019-09-18 12:02:00,916 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'崇安')]") 持续时间: 30 查找频率: 0.2
2019-09-18 12:02:00,987 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_detail_addr_info') 持续时间: 30 查找频率: 0.2
2019-09-18 12:02:01,604 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_detail_addr_info')元素方法
2019-09-18 12:02:02,640 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_detail_addr_info')元素输入黄河口88号
2019-09-18 12:02:03,478 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_post_code') 持续时间: 30 查找频率: 0.2
2019-09-18 12:02:04,003 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_post_code')元素方法
2019-09-18 12:02:04,905 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_post_code')元素输入100000
2019-09-18 12:02:05,821 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/button_send') 持续时间: 30 查找频率: 0.2
2019-09-18 12:02:06,379 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('id', 'com.yunmall.lc:id/receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 12:02:07,319 INFO [root] [base_login.py (find_elements:25] - 查找元素: ('id', 'com.yunmall.lc:id/receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 12:02:07,397 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymtitlebar_right_btn') 持续时间: 30 查找频率: 0.2
